培养方向名称,特色与优势,专业类别名称
数理统计,关注数据分析的理论基础和方法，统计推断和决策中的统计思想、理论模型及样本结构等。主要研究领域包括大数据建模、半参数和非参数统计建模及推断方法、网络数据分析、面板数据分析、贝叶斯推断、符号数据分析等。,统计学
随机微分方程及其统计推断,应用随机微分方程理论研究种群模型及传染病模型，研究典型随机生物数学模型的参数估计及假设检验问题，通过定性和统计推断分析研究种群的持久性、稳定性以及疾病的流行和消失。,统计学
统计机器学习,研究面向大规模数据、流数据、时空数据的机器学习理论、随机优化方法与数据挖掘算法，包括在线学习算法与理论、有限信息反馈学习算法与理论、稀疏学习算法与理论、流形学习算法及理论等。,统计学
无机化学,无机化学方向在金属一有机框架化合物的合成、结构及吸附分离性能，无机纳米材料的制备与光电催化性能，无机碳合物的合成、结构与催化性能，无机多孔材料的制备与催化性能研究等领域形成了优势与特色。,化学
有机化学,主要方向为有机合成特种燃料的研究与开发、金属有机化学、超分子化学、工业催化、新型油田化学品的研制等，注重化学、化工、材料等多学科的相互交叉、融合，构建有机合成、分离提纯、波谱分析与工业应用紧密结合的技术平台，具有明显学科交叉特色。,化学
物理化学,侧重石油开采与炼制过程中的胶体与界面化学，石油化工、精细化工过程的催化动力学、计算化学，以及氢能产业涉及的制氢、储氢相关技术的开发与材料的制备，以及自组装技术合成功能纳米材料。,化学
分析化学,该方向针对石油、化工、炼制等过程中涉及的物质，通过设计与合成，实现其有特定光学、电学、分离和磁学性能的新材料和新器件的制备和应用，发展基于色谱分析、光谱分析和电化学分析为基础的新方法，实现痕量物质的快速、灵敏监测。以生命、环境重要标志物的检测为目标，开展生物化学传感与芯片技术、仿生传感技术和免疫传感技术等研究，建立从宏观到微观体系的检测与分析技术，实现对分子原子的快速检测和生物分子的精准识别。,化学
能源化学,利用化学与化工的理论与技术来解决能量转换、能量储存及能量传输问题，重点解决化石能源的高效绿色转化及相关材料、技术与工艺问题：清洁能源的制备、存储及其转化相关的材料制备与技术探究。,化学
电机与电器,特色与优势：主要研究兆瓦级静态密封高温超导励磁直驱风力电机的设计、分析及其系统控制，非常规油气电磁储层改善和石油石化特种节能电机的设计制造及运行控制等。在石油石化特种节能电机、高效能风力发电机的设计制造及运行控制等方面具有行业特色和优势。,电气工程
电力电子与电力传动,特色与优势：主要研究新能源电力变换用电路拓扑、装置和系统的设计及应用，电力电子系统故障诊断及可靠性，电力传动及其自动控制系统，宽禁带器件设计及应用，先进电力电子技术在特种车辆、宇航装备中的应用等。在新能源发电及并网运行控制、特种电源开发等方面具有显著特色与优势。,电气工程
