培养方向名称,专业类别名称,培养方向特色与优势
数据智能,应用统计,"面向新一代信息技术所产生海量、复杂、多元的无限“超数据”，研究超数据情形下时空大数据、多元异构数据、不完整数据的统计建模及其应用研究，包括：多元异构数据的融合、缺失和删失数据统计分析、时空数据的异常点探测及稳健的统计分析技术、高维回归模型的特征筛选和变量选择、各种复杂系统的概率图模型分析与算法、隐私保护迁移学习等。"
能源大数据分析,应用统计,"面向能源行业数据，研究相应的统计建模方法、数据挖掘与分析算法，包括：降维与特征工程、分类与预测方法、在线学习算法、神经网络与深度学习方法等，为石油数据分析、地质数据分析等领域的实际应用场景提供理论与方法支撑。"
生物统计,应用统计,"利用统计手段对流行病及种群监测数据构建符合传染病传播播机制及种群演化的随机生物模型，利用随机分析等方法研究流行病流行与消失的概率，种群共存与灭绝的概率：平稳分布的存在性和历史性，进一步，得到拟平稳分布密度函数的精确表达式。"
化工过程机械,能源动力,"是研究工程领域中的化工过程设备和工艺的科学，着重开展化工过程设备运行及工艺流程中的承压设备安全评价、多相流动与分离、流体机械与密封及化工过程控制等基本问题，实现化工过程设备运行可靠性和工艺能的提高，以提高能源利用率，减少能源消耗和污染物质排放，推动国民经济可持续发展。"
热能工程,能源动力,"是研究能源合理、高效、清洁转换和利用的科学，着重研究通过热能过程和装备实现能源由化学能向热能、热能再向机械能转换和利用的原理与技术，研究和开发能量利用的新理论、新技术和新工艺等，以提高能源转化效率和实现高效节能，推动能源技术的转型升级与经济社会可持续发展。"
新能源与能源高效利用,能源动力,"是研究新能源与能源高效利用的科学，主要针对新能源开发、转换、存储、利用及传统能源的清洁转化等方面，开展新能源工程、节能工程、新能源材料与器件、能效政策、能源信息管理方面的研究，为提高新能源的转化效率、推动能源绿色清洁和低成本利用奠定科学理论和工程技术基础。"
新一代电子信息技术,新一代电子信息技术,"以先进电子信息系统设计与开发为主线，贯穿人工智能技术、FPGA、嵌入式系统等实践研发工作。培养学生掌握人工智能、电子设计、软件开发等多种电子信息技能，具备面向相关行业（如油气、海洋等）开发行业相关电子信息应用技术的能力。"
大数据计算,大数据技术与工程,"致力于研究大数据采集与预处理、大数据存储与管理、大数据计算模式、大数据可视化、大数据安全等大数据全生命周期管理的基础理论和技术，重点研究大数据索引和查询技术、实时及流式大数据高效存储与科学计算。"
大数据分析,大数据技术与工程,"致力于研究大数据深度分析和挖掘及自动化分析理论、方法、技术与应用，重点研究时间序列数据分析、大数据集成模型与聚类模型、知识图谱与文本分析、海量视频分析挖掘、复杂多媒体数据分析。"
领域大数据应用,大数据技术与工程,"致力于研究大数据理论与技术在领域大数据中的特色应用，重点研究地震数据采集、虚拟现实、复杂地形数据的多层高效预处理方法、石油领域三维地震资料可视化解释、测井资料处理和虚拟井眼规划、地表和地震体高性能处理与可视化、智慧海洋、智慧城市、智慧交通、智能制造等领域的特色应用。"
