major name ,Minimum Admission Rank,major presentation
计算机科学与技术,14950,"培养适应新时代信息化、网络化、智能化深度驱动社会主义现代化发展需要，能够在信息技术行业及油气能源领域从事软件架构、网络规划、嵌入式开发或智能应用等工作的高级工程技术人才，
计算机科学与技术专业毕业生就业去向主要涉及国内知名互联网公司、软件开发公司、计算机技术研发与设备制造企业、电子信息类技术科研院所、银行、国企、政府信息中心以及教育等企事业单位，如百度、腾讯、阿里、美团、浪潮、中国移动、东软、中软等企业。"
电子信息工程,16332,"电子信息工程专业主要面向现代电子信息系统设计和智能信息处理两个领域，专业研究的对象跟目前信息时代的热点问题息息相关。专业学习的内容包括电子电路、信号与信息处理、计算机原理与程序设计、人工智能模型和算法、嵌入式系统设计等课程，
2010年获批山东省特色专业，2019年获批山东省一流专业建设点，2021年获批国家级一流专业建设点目前以电子信息、海洋信息、石油石化等相关行业为主要服务对象"
法学,16804,培养具有较系统的法学理论知识和法律实务知识的复合型、应用型法律高级专门人才。毕业生能够从事与法律有关的立法、司法、执法、法律咨询与服务、以及法学科研、教学和管理工作。
电气工程及其自动化,17313,"

"
软件工程,17313," 国家级一流本科专业建设点，山东省“卓越工程师教育培养计划”建设专业。
      培养掌握深厚的学科基础知识、扎实的软件工程专业知识以及与石油行业、工业互联网交叉领域的专门知识，具备较强的软件设计开发能力，能够在企事业单位，尤其是在石油行业、工业互联网交叉领域胜任软件开发与管理、软件工程服务或技术研究等工作的高级工程技术人才。"
数据科学与大数据技术,17313,"数据科学和大数据技术专业是学校于2019年新设置的本科专业，每年招生60人，下设海洋和能源两个大数据应用模块。数据科学和大数据技术专业依托学校的优势平台和统计学一级硕士点，进行专业和学科一体化建设
专业培养目标：本专业面向社会各领域，尤其是海洋、能源等领域对大数据研究与应用的需求，具有数据科学基础和数据思维能力，掌握数据科学和大数据技术的基本理论、方法与技能，能利用大数据思维分析复杂工程问题，解决相关实际问题，。"
自动化,17860,我校于1959年设置自动化专业，是国内创建自动化专业最早的大学之一。2019年自动化专业第一批入选国家一流本科专业建设点，并分别于2016年和2019年两次通过工程教育专业认证。自动化专业具有过程控制、计算机控制与仿真、机器人运动控制、高级自动化技术、油气生产自动化等多个专业实验室，同时依托山东省实验教学示范中心和校外实习实训基地，为人才培养提供良好的实验及实习实践条件。形成了智能控制与优化、模式识别与智能感知、油气开发测控技术、过程先进控制与故障诊断、微纳传感技术与微系统等研究方向。
智能科学与技术,18428,"      培养在信息技术行业及油气能源领域胜任智能信息处理、智能系统设计或智能应用相关岗位的高级工程技术人才。
      学制四年。专业核心课程：数据结构、数据分析（Python）、机器学习、深度学习基础、计算机视觉。"
新能源科学与工程,18428,"本专业培养知识、能力、素质各方面全面发展；系统掌握数学、物理、化学和信息科学等方面的基本理论和基础知识，新能源产生、转化和储存的基本理论和技术知识；
具备在新能源材料与器件领域和学科交叉领域从事设计、开发、研究，并对生产过程管理与改造的能力，具有创新精神、实践能力和国际视野的工程技术人才。"
光电信息科学与工程,18428,
汉语言文学,18997,"培养具有较高的文学理论素养、系统的汉语言文学知识和较强的语言文字表达能力，
毕业生可在文化管理、新闻出版、高校、科研机构以及机关、企事业单位从事文化管理、文化宣传、新闻报道、文学评论、汉语言文学教学与科研、文秘等工作。"
通信工程,18997,"通信工程主要研究信息的获取、传输、处理、存储和应用，以及信息与通信设备的设计、分析、开发、运维、集成和应用等。通信工程专业学生毕业后主要进入三类行业：中国移动、联通等网络运营商；华为、中兴、爱立信等网络设备提供商；百度、阿里、腾讯等智能应用服务商。
本专业以电子、计算机和人工智能技术为基础，以通信系统理论和通信软硬件开发技术为核心，培养满足时代需求的复合型高素质工程技术人才。近三年平均就业率99.3%，考研率50.1%，出国率6%，均高居学校前列。"
数学类,19549,数学与应用数学专业是2001年由学校自主设置、2002年经教育部正式批准设立的本科专业。自2002年9月开始招生，数学与应用数学专业至今已有15届毕业生。数学与应用数学专业设有 “应用数学”和“统计分析”两个培养方向。近年来随着大数据技术重要性的提升，数学、统计学对于学生的吸引力明显上升。
能源与动力工程,19549,"能源与动力工程，它融合了热科学、力学、材料科学、环境科学、控制科学等高新科学技术，主要研究煤炭、石油、天然气等一次能源转化为电力、热能等二次能源生产过程，以及风能、太阳能、生物质能等可再生能源的开发利用.
是能源动力、石油石化、节能环保、国防军工等领域的核心专业。2009年被评为山东省品牌专业，2010年被评为国家级特色专业，2021年列入国家级一流本科专业建设点。"
材料类（本研一体班）,20108,
会计学,20656,"会计学专业面向经济高质量发展对会计人才的需求，服务于我国经济转型升级，致力于建设成为国内一流、特色鲜明的会计学专业。培养具有创新意识、职业素养、国际视野，掌握管理学、经济学基础知识，具备会计理论和会计技能，能够在企事业单位从事会计、审计、财务管理等工作的高层次会计人才。
"
测控技术与仪器,20656,"。2020年入选山东省一流专业建设点，2021入选国家一流专业建设点。
形成了智能油气开发测控技术、微纳传感技术与微系统、光学精密测量与微加工技术、检测技术与仪器等研究方向。。"
应用物理学,21260,
智能感知工程,21260,"我校于2021年获教育部批准设立智能感知工程专业，是省内第一批专业建设点。
智能感知工程专业聚焦智能科学领域，以现代智能传感、智能检测、智能信息处理理论为指导，致力于培养智能传感器件、信息感知技术、动态测量技术、物联网技术、智能微系统、智慧医疗、新一代信息技术等领域从事科学研究、技术开发、工程设计、运行管理的专业人才。
"
储能科学与工程,21260,
碳储科学与工程,22493,
地理信息科学,22493,"
2019年获批山东省一流本科专业。，课程设置充分体现学科交叉性，从测绘科学、地理学、计算机科学三条主线传递基础理论知识，培养学生解决实际问题的能力，同时又考虑本专业培养的海洋信息特色。
就业领域涵盖海洋、测绘、国土资源、城市规划、交通、水利、电力、环境保护、资源调查、石油等行业相关部门，主要从事与地理信息系统有关的应用研究、技术开发、生产管理和行政管理等工作。"
过程装备与控制工程,23063,
工业设计,23063,
机械类（智能装备工程）,23708,"
机械工程专业是广泛融合了机电、信息化、智能化等知识体系的宽口径专业，在学习和实践当中既存在趣味性，也具有挑战性
本专业注重人才综合实践能力和职业素养的培养，毕业生能够运用所学自动化、智能化方面的专业知识和实践技能，在机电、汽车、家电、石油石化、海洋工程等领域从事智能化装备的设计、开发、研究、服务和管理等方面工作"
经济学,23708,"以国家能源战略和经济社会发展为导向，突出能源经济特色，致力于建设成为国外知名、国内一流的能源经济、区域经济特色鲜明的经济学专业。培养具有扎实的经济学基础理论知识和能源行业专门知识，能够熟练运用经济学研究方法解决复杂经济问题的高层次、复合型人才。
2017年，在全国第四轮学科评估中，本专业依托的应用经济学学科被评为C,位列山东省第5位。"
化学,23708,
能源化学工程,23708,"能源化学工程专业是适应能源产业发展新形势而设置的学科交叉型专业，是化学工程科学在能源领域的拓展与延伸。能源化学工程专业未来将瞄准能源资源开发和利用的前沿问题，面向国家能源战略需求，突出学科交叉。
能源化学工程专业培养的是宽口径、复合型化学工程专业人才，可在化工、能源、轻工、安全、环保和军工等领域就业，。"
安全工程,23708,
工程力学,23708,"本专业培养在力学基础理论与工程应用，包括机械工程、航天航空工程、海洋工程、石油工程、土木工程等领域结构分析与强度可靠性设计方面的复合型人才。本专业以数学、力学理论为基础，
毕业生可在厂矿、土木建筑、研究院所等单位从事工程结构设计、生产、技术管理、科研、教学等方面的工作。"
船舶与海洋工程,24346,培养具有扎实的数学、力学基础和较强的计算机、外语应用能力，掌握现代船舶与海洋石油工程研究、设计、建造的基本理论和基本技能，并能在船舶与海洋结构物研究、设计、施工、检验、使用和管理等部门从事技术和管理方面工作的高级工程技术人员。毕业生主要就业于与船舶修造、海洋石油工程相关部门，从事生产管理和科研工作。
