Major,Minimum admission score in 2023,Lowest admission rank number in 2023,Minimum admission score in 2022,Lowest admission rank number in 2022,所属学院
会计学,606,20656,592,20153,经济管理学院
俄语,590,31426,586,24009,外国语学院
储能科学与工程,605,21260,588,22673,新能源学院
光电信息科学与工程,610,18428,591,20748,理学院
勘查技术与工程,596,27050,580,28545,地球科学与技术学院
化学,601,23708,588,22673,化学化工学院
化学工程与工艺,595,27755,581,27731,化学化工学院
化工安全工程,594,28500,581,27731,化学化工学院
土木工程,594,28500,580,28545,储运与建筑工程学院
地球物理学,600,24346,585,24714,地球科学与技术学院
地理信息科学,603,22493,590,21378,海洋与空间信息学院
地质学,595,27755,581,27731,地球科学与技术学院
安全工程,601,23708,587,23311,机电工程学院
工业设计,602,23063,587,23311,机电工程学院
工程力学,601,23708,585,24714,储运与建筑工程学院
市场营销,592,29958,586,24009,经济管理学院
应用化学,598,25680,584,25453,化学化工学院
应用物理学,605,21260,590,21378,理学院
建筑学,597,26361,586,24009,储运与建筑工程学院
建筑环境与能源应用工程,597,26361,585,24714,储运与建筑工程学院
数学类,608,19549,593,19497,理学院
数据科学与大数据技术,612,17313,595,18295,理学院
新能源科学与工程,610,18428,592,20153,新能源学院
智能感知工程,605,21260,589,22011,控制科学与工程学院
智能科学与技术,610,18428,592,20153,青岛软件学院、计算机科学与技术学院
机械类（智能装备工程）,601,23708,584,25453,机电工程学院
材料类,593,29216,578,30209,材料科学与工程学院
材料类（本研一体班）,607,20108,591,20748,材料科学与工程学院
汉语言文学,609,18997,595,18295,文法学院
油气储运工程,597,26361,580,28545,储运与建筑工程学院
法学,613,16804,597,17161,文法学院
测控技术与仪器,606,20656,587,23311,控制科学与工程学院
测绘工程,597,26361,584,25453,海洋与空间信息学院
海洋油气工程,598,25680,581,27731,石油工程学院
环保设备工程,597,26361,582,26937,新能源学院
环境工程,595,27755,586,24009,化学化工学院
电子信息工程,614,16332,595,18295,海洋与空间信息学院
电气工程及其自动化,612,17313,593,19497,新能源学院
石油工程,596,27050,580,28545,石油工程学院
碳储科学与工程,603,22493,-,-,石油工程学院
管理科学与工程类,596,27050,582,26937,经济管理学院
经济学,601,23708,592,20153,经济管理学院
能源与动力工程,608,19549,590,21378,新能源学院
能源化学工程,601,23708,586,24009,化学化工学院
自动化,611,17860,594,18874,控制科学与工程学院
船舶与海洋工程,600,24346,584,25453,机电工程学院
英语,598,25680,591,20748,外国语学院
计算机科学与技术,617,14950,599,16019,青岛软件学院、计算机科学与技术学院
资源勘查工程,592,29958,579,29368,地球科学与技术学院
软件工程,612,17313,595,18295,青岛软件学院、计算机科学与技术学院
过程装备与控制工程,602,23063,585,24714,新能源学院
通信工程,609,18997,591,20748,海洋与空间信息学院
