学院,专业代码、名称及研究方向,考试拟招生人数,考试科目,复试专业课,2023年复试线
001地球科学与技术学院,"
085703 地质工程★
01油气资源与地质工程",50,"①101政治
②204英语二
③302数学二
④862油气地质勘探
",开发地质学或综合地质考试,273
001地球科学与技术学院,02地球物理勘探工程,23,"①101政治
②204英语二
③302数学二
④803地震勘探
",地震数据处理方法或信号分析(任选一门),273
001地球科学与技术学院,03地球物理测井工程,11,"①101政治
②204英语二
③302数学二
④871地球物理测井
",测井资料处理与综合解释,273
002 石油工程学院,"
085505船舶工程
01船舶与海洋结构物及油气装备设计制造
02 海洋岩土工程",3,"①101政治
②204英语二
③302数学二
④811工程流体力学
",海洋平台工程,273
002 石油工程学院,"085706石油与天然气工程
01油气井工程理论与技术
02油气开采工程理论与技术
03渗流理论与油气藏开发工程
04油气田化学与提高采收率技术
05海洋油气工程理论与技术
06油气工程信息与智能技术
07非常规地质能源开发工程理论与技术
08地下储碳储能理论与技术",107,"①101政治
②204英语二
③302数学二
④811工程流体力学
",石油工程概论,281
003化学化工学院,"
085602化学工程
01能源化工
02工业催化
03精细化工
04化工安全
05新能源材料与工程",95,"①101政治
②204英语二
③302数学二
④814物理化学
",化工原理,330
003化学化工学院,"085701环境工程
01环境污染治理技术与材料
02风险评估与控制技术
03污染环境修复技术",21,"①101政治
②204英语二
③302数学二
④820环境工程学
",环境基础,338
003化学化工学院,"086001 生物技术与工程
01生物工程",28,"①101政治
②204英语二
③338生物化学
④819生物工程
",分子生物学,351
004机电工程学院,"
085501机械工程
01石油机械工程
02机械制造及其自动化
03机械电子工程",77,"①101政治
②204英语二
③302数学二
④822机械原理
",机械综合,342
004机电工程学院,"085702安全工程
01 油气化工及新能源安全技术
02 安全工程信息化技术
03 海洋油气安全技术",28,"①101政治
②204英语二
③302数学二
④825安全系统工程
",安全工程综合考试,339
006储运与建筑工程学院,"
085706石油与天然气工程
01 油气储运工程",40,"①101政治
②204英语二
③302数学二
④831 油气储运专业综合(含工程流体力学、传热学)
",综合考试(含输油管道设计与管理、油气集输与矿场加工、油库设计与管理、输气管道设计与管理),279
006储运与建筑工程学院,"085901土木工程★
01 岩土工程
02结构工程
03防灾减灾工程及防护工程",30,"①101政治
②204英语二
③302数学二
④832土木工程专业综合(含土力学与混凝土结构)",土木工程专业综合(含材料力学、结构力学、基础工程、钢结构),309
006储运与建筑工程学院,04建筑设计,2,"①101政治
②204英语二
③302数学二
④835建筑设计理论
",建筑设计,292
006储运与建筑工程学院,"085906人工环境工程
01 天然气综合利用技术
02 能源高效利用技术
03 绿色低碳建筑技术",15,"①101政治
②204英语二
③302数学二
④811工程流体力学
",建环专业综合(含城市燃气输配、传热学、工程热力学),298
014材料科学与工程学院,"
085601材料工程
01装备材料工程
02能源材料工程
03材料基因工程",84,"①101政治
②204英语二
③302数学二
④826 材料科学基础
",工程材料或材料化学或材料物理,332
015新能源学院,"
085801 电气工程
01特种电机与电器
02新能源电力变换
03电力系统及其自动化",15,"①101政治
②204英语二
③302数学二
④828电路
",电机学,357
015新能源学院,"085802动力工程★
01化工过程机械",37,"①101政治
②204英语二
③302数学二
④868 力学基础
",综合考试A(含过程流体机械、过程设备设计),311
015新能源学院,02热能工程及新能源,26,"①101政治
②204英语二
③302数学二
④817 工程热力学
",传热学,337
015新能源学院,"085808 储能技术
01电化学储能
02氢能综合利用",12,"①101政治
②204英语二
③302数学二
④867 普通化学
",化学基础综合,351
016海洋与空间信息学院,"
085401新一代电子信息技术
01新一代电子信息技术",23,"①101政治
②204英语二
③302数学二
④830信号与系统
",数字电子技术综合(机考+笔试),355
016海洋与空间信息学院,"085402通信工程
01通信工程",15,"①101政治
②204英语二
③302数学二
④836通信原理
",计算机网络(机考),329
016海洋与空间信息学院,"085410人工智能
01计算机视觉及应用
02数据挖掘及应用
03智能化感知与控制系统",16,"①101政治
②204英语二
③302数学二
④859数据结构
",程序设计(机考),350
