培养方向, 专业名称, 特色与优势
化工过程机械, 动力工程, 研究工程领域中的化工过程设备和工艺的科学，着重开展化工过程设备运行及工艺流程中的承压设备安全评价、多相流动与分离、流体机械与密封及化工过程控制等基本问题，实现化工过程设备运行可靠性和工艺能的提高，以提高能源利用率，减少次能源消耗和污染物质排放，推动国民经济可持续发展。
热能工程, 动力工程, 研究能源合理、高效、清洁转换和利用的科学，着重研究通过热能过程和装备实现能源由化学能向热能、热能再向机械能转换和利用的原理与技术，研究和开发能量利用的新理论、新技术和新工艺等，以提高能源转化效率和实现高效节能，推动能源技术的转型升级与经济社会可持续发展。
新能源与能源高效利用工程, 动力工程, 研究新能源与能源高效利用的科学，主要针对新能源开发、转换、存储、利用及传统能源的清洁转化等方面，开展新能源工程、节能工程、新能源材料与器件、能效政策、能源信息管理方面的研究，为提高新能源的转化效率、推动能源绿色清洁和低成本利用奠定科学理论和工程技术基础。
大数据技术与工程, 电子信息, 培养方同包括大数据计算、大数据分析、领域大数据应用等，是学校服务国家新旧动能转换重大工程的重点拓展领域。
新一代电子信息技术, 电子信息, 以通用和专用先进电子信息系统设计与研发为主线，培养应用型、复合型电子信息工程技术与工程管理人才。
应用统计, 应用统计, 面向新一代信息技术所产生海量、复杂、多元的无限“超数据”，研究超数据情形下时空大数据、多元异构数据、不完整数据的统计建模及其应用研究，包括：多元异构数据的融合、缺失和删失数据统计分析、时空数据的异常点探测及稳健的统计分析技术、高维回归模型的特征筛选和变量选择、各种复杂系统的概率图模型分析与算法、隐私保护迁移学习等。
能源动力, 能源动力, 以计算机技术、测绘科学与技术在地学资源空间信息化中的应用为主要特点，研究时空信息技术、智慧油田、智慧海洋、智慧城市等领域中空间信息理论与技术，注重与地质资源与地质工程、地球物理学、信息科学等多学科交叉融合和创新研究，解决空间信息技术关键问题，培养服务于我国空间信息技术与管理的高层次创新人才。
空间导航与定位, 测绘工程, 以空间导航与定位理论与技术研究为主要特点，研究GNSS高精度定位与定轨的理论、方法和技术、组合导航与自主导航定位技术、深远海水下导航定位、北斗卫星导航系统关键技术、卫星导航定位综合应用服务等关键理论与技术，注重与人工智能、海洋油气勘探、信息科学等多学科交叉融合和创新研究，解决空间导航与定位关键技术问题，培养服务于空间导航定位工程与管理的高层次创新人才。
海洋测绘与遥感, 测绘工程, 以海洋测绘与遥感理论与方法研究为主要特点，研究海岛海岸带调查，海洋动力环境调查、海底地貌测绘、重力反演、海洋地球动力学、摄影测量与遥感、新型遥感处理技术、海洋与海岸带遥感等的理论与方法，注重与海洋科学、信息科学、地球物理学、环境科学等多学科交叉融合创新，解决海洋测绘与遥感关键技术问题，培养海洋测绘、摄影测量与遥感、海洋环境监测工程与管理的高层次创新人才。
新一代电子信息技术, 电子信息, 以先进电子信息系统设计与开发为主线，贯穿人工智能技术、FPGA、嵌入式系统等实践研发工作。培养学生掌握人工智能、电子设计、软件开发等多种电子信息技能，具备面向相关行业（如油气、海洋等）开发行业相关电子信息应用技术的能力。
通信工程, 电子信息, 以先进通信系统设计与开发为主线，贯穿通信与计算技术的深度融合，涵盖无线通信与组网、水上水下通信、移动计算、智能应用等方向，培养学生掌握通信系统设计、软件开发等多种技能，具备面向相关行业（如油气、海洋等）应用开展通信技术研发的能力。
装备材料工程, 材料与化工, 开展石油石化、海洋工程、机械装备用材的焊接新技术与新装备研究；开展材料的腐蚀、疲劳及污损等分析与评价，研发新型防腐材料、技术与装备；开发新型表面加工处理技术、超疏水涂层及油水分离技术与装备、研发绿色高效二次电池、超级电容器、燃料电池、钙钛矿/半导体太阳能电池、制氢与储氢材料及其器件；开发碳材料、金属-有机框架材料、膜材料等微纳多孔材料在气体分离、污水处理、海水淡化等方面的应用。
能源材料工程, 材料与化工, 开展能量存储与转化材料、油气功能材料、特种材料及材料加工过程等，依托高性能材料计算和实验平台，借助现代材料计算和测试表征技术，实现跨尺度研究，探索材料结构与性能间的构效关系，建立材料性能评价标准和预测方法，加速新材料的筛选与高效研发。
材料基因工程, 材料与化工, 面向能量存储与转化材料、油气功能材料、特种材料及材料加工过程等，依托高性能材料计算和实验平台，借助现代材料计算和测试表征技术，实现跨尺度研究，探索材料结构与性能间的构效关系，建立材料性能评价标准和预测方法，加速新材料的筛选与高效研发。
电化学储能, 储能技术, 针对研发金属离子电池、氧化还原液流电池、电化学电容器等电化学储能技术中的关键时刻，开展新型电化学储能器件的设计与制造研究；开展电化学储能器件中关键材料的研发及规模化制备技术研究；开展电化学储能器件的测试技术和安全性研究。
氢能综合利用, 储能技术, 围绕氢能开发与利用过程中的关键问题，开展氢气制备过程中关键基础理论及关键材料的研发；开展新型氢气纯化技术及纯化材料的开发研究；开展新型氢气储存技术的基础理论及关键材料的研究；开展氢燃料电池关键材料及部件的开发。
油气井工程, 石油与天然气工程, 以油气井安全、高效建设为目标，针对油气井建设过程中的各种物理、力学与化学现象及其演变规律、形成机理、预测理论和方法、控制技术等开展研究，重点聚焦油气资源（特别是深层、深水、页岩/致密油气、煤层气、天然气水合物等）及地热资源等安全、高效开发的钻完井理论与技术，解决复杂油气井工程技术问题。为实现油气井安全、绿色、高效建设提供理论基础和技术支持，培养油气井工程方向专门的技术人才和管理人才。
油气藏工程, 石油与天然气工程, 以油气等地下资源经济、高效、绿色开发为目标，针对常规油气、非常规油气及新能源开发中遇到的瓶颈问题，重点开展各类油气储的岩石物性分析、流体相态特征研究、多尺度油气渗流理论、油气藏开发理论与技术、智能油田开发技术、提高采收率工程、地下储气库建设及运行、地热及天然气水合物资源开发等理论与方法的攻关研究，为实现油气资源开发降本增效、高效持续发展提供理论基础和技术支持，培养油气藏工程方向专门的技术人才和管理人才。
油气开采工程, 石油与天然气工程, 以近井储层和井筒的高效协同流动为目标，重点围绕常规油气、非常规油气以及新能源开采过程中的工程技术难题，开展高效举升理论与技术、储层改造增产理论与技术、气液固流动与防砂完井理论与技术、泡沫流体高效开采理论与技术、物理-化学强化开采理论与技术，油气开采信息化与实时智能监控理论与方法等的攻关研究，为实现油气开采“降本、高效、安全、绿色”提供理论基础和技术支持，培养油气开采工程方向专门的技术人才和管理人才。
油气田化学工程, 石油与天然气工程, 针对复杂油气藏和非常规油气资源高效开发面临的工程技术难题，主要采用化学、物理化学等方法，开展提高油气采收率新理论及材料、方法、技术、天然气水合物的化学抑制与开采等研究，为安全绿色提高油气采收率提供基础理论和技术支持，培养油气田化学工程方向专门的技术人才和管理人才。
海洋油气工程, 石油与天然气工程, 针对海洋油气钻完井与开采过程中各种物理、力学与化学现象、机理，工艺技术与装备，设计与计算方法等开展研究，重点研究海洋油气钻采理论与新技术、井筒多相流动动力学理论与应用、海洋油气开采流动保障、天然气水合物基础物性与相变机理、天然气水合物藏高效开采方法、海洋油气钻探和开发过程中的安全风险管控、环境污染与环保技术等，培养海洋油气工程方向的技术人才和管理人才。
油气储运工程, 石油与天然气工程, 运用科学的理论与方法，针对石油、天然气、浆体、氢、二氧化碳等流体，开展地面集输、长距离管道输送、储存工艺与技术等方向研究，发展石油、天然气、浆体、氢、二氧化碳等流体介质储运系统中的工艺、设备、结构、安全与智能化等方面的理论与技术。
软件服务工程, 工程管理, 面向国家能源转型与可持续发展的现实需求，综合运用系统工程与工程管理的理论方法，研究解决国家及区域能源战略规划、大型能源项目管理、能源技术创新、能源系统可靠性管理等理论与实践问题。培养熟悉国内外能源发展态势、善于运用管理定量分析方法、具有系统思维和国际视野的高层次工程管理人才。
